sku,name,category,subcategory,price_idr,stock_status,description,specifications,image_url,product_url,tokopedia_url,shopee_url,scraped_at
154199,Simbadda CST 2100 N+,Speaker,,405000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/10/1/619d93fd-6ac9-43c8-8f49-a0768d9e4454.jpg,https://enterkomputer.com/detail/154199/Simbadda-CST-2100-N,,,2026-05-10T10:24:28.086827+00:00
156474,Simbadda CST 2000 N Plus,Speaker,,420000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/11/3/88c04869-292f-40a2-a921-9592112468b5.png,https://enterkomputer.com/detail/156474/Simbadda-CST-2000-N-Plus,https://tokopedia.link/0R3q0PW4fCb,https://s.shopee.co.id/4L5GFmWXOJ,2026-05-10T10:24:24.646042+00:00
158019,Simbadda CST 800 N,Speaker,,305000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/product-1/2020/8/5/9651507/9651507_a308b445-6b20-4a27-8b73-63bd5c301ed1_700_700,https://enterkomputer.com/detail/158019/Simbadda-CST-800-N,https://www.tokopedia.com/enterkomputer/simbadda-cst-800-n,https://shopee.co.id/product/43570421/4729129742,2026-05-10T10:24:21.174451+00:00
126167,"APC Back-UPS RS 1500VA LCD, Master Control - BR1500Gi - Weight 15Kg",UPS,Back-UPS and Back UPS RS Series,7908000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/10/12/c2746d3a-9bdc-4182-b3d5-18596f5e3545.jpg,https://enterkomputer.com/detail/126167/APC-Back-UPS-RS-1500VA-LCD-Master-Control-BR1500Gi-Weight-15Kg,https://www.tokopedia.com/enterkomputer/apc-back-ups-rs-1500va-lcd-master-control-br1500gi-weight-15kg,https://shopee.co.id/product/43570421/4204995431,2026-05-10T12:31:38.698737+00:00
126168,APC Back-UPS RS 1500VA 24V Battery Pack BR1500Gi - BR24BPG - Weight 15Kg,UPS,Back-UPS and Back UPS RS Series,2799000,in_stock,,{},,https://enterkomputer.com/detail/126168/APC-Back-UPS-RS-1500VA-24V-Battery-Pack-BR1500Gi-BR24BPG-Weight-15Kg,,,2026-05-10T12:31:42.710308+00:00
126169,APC Smart UPS 420VA - SC420i - Weight 11Kg,UPS,Smart-UPS with Software Bundles Sine Wave,2530000,in_stock,,{},,https://enterkomputer.com/detail/126169/APC-Smart-UPS-420VA-SC420i-Weight-11Kg,,,2026-05-10T12:32:15.073562+00:00
126170,APC Smart UPS SC 450VA - SC450RMI1U - Weight 12Kg,UPS,Smart-UPS with Software Bundles Sine Wave,4660000,in_stock,,{},,https://enterkomputer.com/detail/126170/APC-Smart-UPS-SC-450VA-SC450RMI1U-Weight-12Kg,,,2026-05-10T12:32:19.027181+00:00
126171,APC Smart UPS 620VA - SC620i - Weight 14Kg,UPS,Smart-UPS with Software Bundles Sine Wave,3500000,in_stock,,{},,https://enterkomputer.com/detail/126171/APC-Smart-UPS-620VA-SC620i-Weight-14Kg,,,2026-05-10T12:32:22.983594+00:00
121626,GALAX GeForce GT 710 1GB DDR3 - Support Low Profile - Garansi 2 Thn,VGA,nvidia,600000,in_stock,,{},https://images.tokopedia.net/img/cache/900/VqbcmM/2022/9/9/d26e11d3-61bc-4ca6-9fc8-ff624febf690.jpg,https://enterkomputer.com/detail/121626/GALAX-GeForce-GT-710-1GB-DDR3-Support-Low-Profile-Garansi-2-Thn,,,2026-05-10T13:04:02.257008+00:00
121917,Gigabyte GeForce GT 710 2048MB DDR3 - GV-N710D3-2GL,VGA,nvidia,610000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/10/13/c94e0249-4694-4b78-8eae-958863b18230.jpg,https://enterkomputer.com/detail/121917/Gigabyte-GeForce-GT-710-2048MB-DDR3-GV-N710D3-2GL,,,2026-05-10T13:22:18.211600+00:00
122068,MSI GeForce GT 710 2GB DDR3 - N710-2GD3H LP,VGA,nvidia,1020000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/product-1/2020/8/6/9651507/9651507_7013d9d1-3be3-4080-8304-2a303d0053e7_700_700,https://enterkomputer.com/detail/122068/MSI-GeForce-GT-710-2GB-DDR3-N710-2GD3H-LP,,,2026-05-10T13:29:16.642685+00:00
151795,Asus GeForce GT 1030 2GB DDR5,VGA,nvidia,1540000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/product-1/2020/8/3/9651507/9651507_acd8094e-a38a-4f1e-8634-ce30bd45798e_700_700,https://enterkomputer.com/detail/151795/Asus-GeForce-GT-1030-2GB-DDR5,https://tokopedia.link/OZrTSe02fCb,https://shopee.co.id/product/43570421/7204359289,2026-05-10T13:10:48.197346+00:00
152377,Inno3D Geforce GT 1030 2GB GDDR5 Heatsink - Garansi 3 Thn,VGA,nvidia,1190000,in_stock,,{},https://images.tokopedia.net/img/cache/900/product-1/2020/2/13/83419695/83419695_37adf160-b3db-46cd-923c-749c1c34b0db_1140_1140,https://enterkomputer.com/detail/152377/Inno3D-Geforce-GT-1030-2GB-GDDR5-Heatsink-Garansi-3-Thn,,,2026-05-10T13:26:03.123515+00:00
